epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5739.96,1.75658,1.13077,1.06311,0.90991,0.8156,0.88573,0.40467,1.90997,0.92786,1.02733,0.0004358,0.0004358,0.0004358
81,5798.08,1.76133,1.14658,1.06709,0.91759,0.82911,0.9036,0.4207,1.88343,0.90726,1.02743,0.000416,0.000416,0.000416
82,5856.45,1.76514,1.12615,1.06251,0.91106,0.82624,0.89271,0.40575,1.93472,0.9183,1.04265,0.0003962,0.0003962,0.0003962
83,5923.38,1.76034,1.14011,1.06458,0.90422,0.85106,0.90383,0.41428,1.92427,0.91011,1.03569,0.0003764,0.0003764,0.0003764
84,5986.94,1.75871,1.12799,1.06494,0.90756,0.82979,0.90288,0.42287,1.88682,0.89886,1.02112,0.0003566,0.0003566,0.0003566
85,6044.37,1.726,1.1053,1.0508,0.89662,0.8617,0.90547,0.41681,1.89555,0.90069,1.02274,0.0003368,0.0003368,0.0003368
86,6104.2,1.72412,1.1066,1.0563,0.92023,0.8227,0.902,0.41096,1.88915,0.90716,1.02377,0.000317,0.000317,0.000317
87,6158.54,1.72048,1.10241,1.0591,0.90736,0.84043,0.89859,0.41144,1.89531,0.91856,1.01657,0.0002972,0.0002972,0.0002972
88,6222.01,1.72553,1.09619,1.05618,0.90845,0.84449,0.91263,0.42133,1.86863,0.89944,1.01368,0.0002774,0.0002774,0.0002774
89,6281.99,1.7149,1.09056,1.05297,0.90284,0.85675,0.90139,0.41274,1.90525,0.89658,1.02617,0.0002576,0.0002576,0.0002576
90,6341.46,1.73954,1.09844,1.05703,0.93298,0.87234,0.92022,0.425,1.88413,0.8845,1.01701,0.0002378,0.0002378,0.0002378
91,6442.81,1.57459,0.92644,1.02302,0.92152,0.83274,0.90511,0.41466,1.90321,0.90895,1.01897,0.000218,0.000218,0.000218
92,6518.5,1.57436,0.88258,1.02251,0.91189,0.84414,0.89716,0.41116,1.89735,0.88989,1.02383,0.0001982,0.0001982,0.0001982
93,6586.27,1.57024,0.89422,1.02398,0.91364,0.83333,0.89991,0.41104,1.91169,0.88104,1.02603,0.0001784,0.0001784,0.0001784
94,6651.06,1.56908,0.86093,1.02555,0.88083,0.86497,0.90578,0.42511,1.89741,0.8812,1.02658,0.0001586,0.0001586,0.0001586
95,6711.28,1.56488,0.86795,1.02364,0.89442,0.86525,0.90372,0.42372,1.8902,0.88146,1.02378,0.0001388,0.0001388,0.0001388
96,6778.2,1.57064,0.86557,1.02285,0.87219,0.87943,0.90738,0.42574,1.88295,0.8747,1.02249,0.000119,0.000119,0.000119
97,6839.47,1.54295,0.84728,1.01005,0.89918,0.87234,0.91213,0.42693,1.88308,0.88142,1.02188,9.92e-05,9.92e-05,9.92e-05
98,6896.11,1.528,0.85072,1.01066,0.91527,0.84397,0.90971,0.4295,1.87939,0.87569,1.0209,7.94e-05,7.94e-05,7.94e-05
99,6953.75,1.53225,0.83479,1.00513,0.88609,0.8617,0.90726,0.43222,1.88347,0.87265,1.02448,5.96e-05,5.96e-05,5.96e-05
100,7012.46,1.52813,0.83373,1.00974,0.88666,0.87234,0.90635,0.43055,1.87267,0.86607,1.0221,3.98e-05,3.98e-05,3.98e-05
